,0,1,2
4914,2129,11-08-2015,other vegetables
4915,1104,18-03-2015,domestic eggs
4916,3529,13-09-2015,canned beer
4917,3271,27-12-2015,sausage
4918,1002,30-08-2015,butter milk
4919,2184,09-06-2015,ham
4920,4648,08-10-2015,whole milk
4921,3595,15-10-2015,other vegetables
4922,2752,10-10-2015,sausage
4923,4101,30-04-2015,bottled beer
4924,1793,04-12-2015,misc. beverages
4925,4224,04-10-2015,brown bread
4926,2846,15-08-2015,whipped/sour cream
4927,1697,23-02-2015,tropical fruit
4928,3884,07-04-2015,citrus fruit
4929,2669,24-09-2015,pip fruit
4930,4843,25-02-2015,waffles
4931,1663,11-11-2015,tropical fruit
4932,4169,19-03-2015,frankfurter
4933,2799,25-05-2015,sausage
4934,2178,20-12-2015,frankfurter
4935,3312,24-12-2015,curd
4936,3609,11-07-2015,meat
4937,1004,02-12-2015,other vegetables
4938,2401,15-01-2015,whole milk
4939,4165,10-02-2015,domestic eggs
4940,2017,14-02-2015,pip fruit
4941,2485,18-05-2015,other vegetables
4942,2261,18-06-2015,sausage
4943,1437,15-08-2015,salty snack
4944,4065,11-05-2015,margarine
4945,1904,18-04-2015,whole milk
4946,4573,28-05-2015,frankfurter
4947,4233,16-06-2015,whole milk
4948,3928,26-09-2015,whole milk
4949,4916,25-01-2015,brown bread
4950,2883,16-04-2015,oil
4951,2938,25-06-2015,liquor (appetizer)
4952,1063,23-01-2015,rolls/buns
4953,3365,28-06-2015,bottled water
4954,2795,06-05-2015,citrus fruit
4955,1336,04-04-2015,citrus fruit
4956,2937,31-07-2015,whole milk
4957,3391,21-12-2015,frankfurter
4958,3719,04-06-2015,soda
4959,3986,26-05-2015,meat
4960,2757,15-02-2015,sausage
4961,1783,07-07-2015,sausage
4962,4234,02-08-2015,chocolate
4963,3484,05-08-2015,canned beer
4964,3337,10-01-2015,bottled beer
4965,2472,17-01-2015,liver loaf
4966,1355,25-02-2015,pastry
4967,3072,08-06-2015,beef
4968,1817,21-08-2015,canned beer
4969,2063,10-09-2015,newspapers
4970,4216,28-04-2015,sausage
4971,2984,24-02-2015,citrus fruit
4972,3365,25-10-2015,canned beer
4973,2260,27-06-2015,frankfurter
4974,4798,24-08-2015,rolls/buns
4975,4952,22-10-2015,canned beer
4976,4778,24-01-2015,frankfurter
4977,1517,01-03-2015,frankfurter
4978,2433,31-07-2015,soda
4979,3938,31-07-2015,meat
4980,2569,30-06-2015,white wine
4981,2092,24-05-2015,sausage
4982,3174,09-02-2015,brown bread
4983,4513,04-11-2015,frozen fruits
4984,2467,04-02-2015,hard cheese
4985,3508,25-07-2015,dessert
4986,1939,02-07-2015,coffee
4987,1636,04-05-2015,other vegetables
4988,2443,12-01-2015,frankfurter
4989,4911,07-01-2015,pork
4990,3835,16-09-2015,yogurt
4991,2363,22-05-2015,beef
4992,2344,19-04-2015,ham
4993,3911,15-02-2015,frankfurter
4994,1450,08-07-2015,hamburger meat
4995,3495,18-11-2015,white wine
4996,1625,27-11-2015,packaged fruit/vegetables
4997,3265,09-12-2015,specialty bar
4998,3247,01-11-2015,cat food
4999,1777,08-07-2015,finished products
5000,1862,05-09-2015,pork
5001,2942,01-02-2015,pork
5002,2932,22-01-2015,root vegetables
5003,4049,01-08-2015,tropical fruit
5004,1954,06-08-2015,pork
5005,2321,16-06-2015,bottled beer
5006,2930,23-03-2015,whole milk
5007,3214,27-03-2015,butter milk
5008,4877,20-06-2015,sausage
5009,1277,07-06-2015,whole milk
5010,2239,13-12-2015,whole milk
5011,4929,26-03-2015,misc. beverages
5012,1390,02-03-2015,waffles
5013,1870,09-09-2015,hamburger meat
5014,3405,03-04-2015,white wine
5015,2338,08-12-2015,canned beer
5016,2051,11-09-2015,frankfurter
5017,3504,06-07-2015,root vegetables
5018,3405,13-04-2015,ice cream
5019,2512,02-09-2015,processed cheese
5020,4038,06-11-2015,tropical fruit
5021,1759,26-09-2015,ham
5022,2813,01-10-2015,sausage
5023,3055,18-08-2015,other vegetables
5024,1733,18-03-2015,coffee
5025,1913,18-08-2015,pip fruit
5026,4864,27-03-2015,whole milk
5027,4812,27-05-2015,soda
5028,3042,05-10-2015,whole milk
5029,4988,04-10-2015,beverages
5030,4486,21-07-2015,hygiene articles
5031,4069,03-05-2015,pork
5032,4600,14-07-2015,salty snack
5033,3588,05-05-2015,pip fruit
5034,4175,29-01-2015,dessert
5035,2599,30-07-2015,white wine
5036,4671,15-07-2015,instant coffee
5037,2270,09-06-2015,pastry
5038,2494,05-05-2015,canned beer
5039,1406,28-12-2015,sausage
5040,3910,18-12-2015,rolls/buns
5041,3358,21-02-2015,dog food
5042,1943,14-01-2015,chicken
5043,1995,12-06-2015,soda
5044,4666,24-02-2015,instant coffee
5045,1994,11-03-2015,whole milk
5046,4892,09-01-2015,citrus fruit
5047,3531,29-08-2015,liver loaf
5048,1148,15-04-2015,sausage
5049,1787,31-10-2015,finished products
5050,4215,31-05-2015,canned beer
5051,2158,01-08-2015,ham
5052,2510,29-09-2015,soda
5053,3180,19-10-2015,pastry
5054,3207,08-08-2015,tropical fruit
5055,1226,12-11-2015,citrus fruit
5056,1682,25-06-2015,pip fruit
5057,1509,04-11-2015,yogurt
5058,2364,21-06-2015,root vegetables
5059,4679,10-11-2015,waffles
5060,4324,05-01-2015,sausage
5061,3497,14-06-2015,soda
5062,1008,21-07-2015,soda
5063,4572,29-10-2015,whole milk
5064,4030,04-07-2015,sausage
5065,2422,12-08-2015,sausage
5066,2694,24-11-2015,whole milk
5067,3481,03-08-2015,pork
5068,3821,03-01-2015,whole milk
5069,3752,20-08-2015,whole milk
5070,3262,08-12-2015,rolls/buns
5071,1370,28-06-2015,whole milk
5072,1090,31-08-2015,whisky
5073,3862,18-11-2015,newspapers
5074,4495,08-04-2015,rubbing alcohol
5075,2492,01-11-2015,ham
5076,4688,01-08-2015,sausage
5077,3633,14-07-2015,bottled beer
5078,3709,08-08-2015,pork
5079,1220,09-02-2015,specialty chocolate
5080,4236,25-11-2015,frankfurter
5081,3308,19-08-2015,nut snack
5082,1183,12-06-2015,bottled beer
5083,1999,24-08-2015,misc. beverages
5084,4828,11-10-2015,pork
5085,3608,12-10-2015,whole milk
5086,3983,09-09-2015,chocolate
5087,3460,24-07-2015,root vegetables
5088,1703,21-02-2015,waffles
5089,3002,13-08-2015,citrus fruit
5090,4836,17-08-2015,pork
5091,1561,05-06-2015,dish cleaner
5092,4731,04-04-2015,rolls/buns
5093,3812,13-11-2015,rolls/buns
5094,2097,01-10-2015,chicken
5095,4986,28-01-2015,pork
5096,4742,15-11-2015,beverages
5097,2502,15-04-2015,soda
5098,1135,10-07-2015,sausage
5099,2403,14-02-2015,frankfurter
5100,4234,17-07-2015,whole milk
5101,4068,11-12-2015,bottled beer
5102,2311,30-06-2015,chocolate
5103,1353,21-01-2015,meat
5104,3251,05-07-2015,beef
5105,1748,08-03-2015,pip fruit
5106,1638,12-03-2015,whole milk
5107,2170,10-02-2015,bottled beer
5108,3903,06-02-2015,other vegetables
5109,1245,27-06-2015,soda
5110,3237,28-06-2015,UHT-milk
5111,2843,12-10-2015,pip fruit
5112,3095,13-10-2015,citrus fruit
5113,4076,22-05-2015,meat
5114,1298,23-06-2015,chicken
5115,4591,13-06-2015,zwieback
5116,3592,28-10-2015,other vegetables
5117,1305,23-05-2015,sausage
5118,4326,06-11-2015,packaged fruit/vegetables
5119,3189,03-02-2015,yogurt
5120,1991,10-02-2015,pork
5121,2091,02-08-2015,ice cream
5122,3100,06-03-2015,beef
5123,4984,26-04-2015,bottled beer
5124,4444,06-10-2015,soda
5125,4678,17-12-2015,meat
5126,1670,22-11-2015,fish
5127,3214,14-01-2015,tropical fruit
5128,2772,18-03-2015,tropical fruit
5129,4343,21-12-2015,frozen vegetables
5130,4351,21-08-2015,other vegetables
5131,1598,02-03-2015,root vegetables
5132,4469,18-10-2015,fish
5133,1788,05-12-2015,UHT-milk
5134,3768,01-08-2015,berries
5135,4661,01-03-2015,condensed milk
5136,3801,17-08-2015,salt
5137,4109,04-10-2015,canned beer
5138,2485,24-03-2015,pip fruit
5139,2365,11-06-2015,sausage
5140,2602,08-02-2015,sausage
5141,2391,05-12-2015,frozen meals
5142,3483,08-09-2015,berries
5143,2512,31-01-2015,liquor
5144,2652,01-08-2015,yogurt
5145,1777,03-12-2015,yogurt
5146,4007,23-12-2015,citrus fruit
5147,2653,17-04-2015,brown bread
5148,2703,21-09-2015,ham
5149,4322,14-11-2015,domestic eggs
5150,2270,04-02-2015,tropical fruit
5151,2306,09-10-2015,rolls/buns
5152,1539,27-09-2015,pip fruit
5153,2517,12-12-2015,tropical fruit
5154,3254,19-10-2015,photo/film
5155,1711,21-03-2015,bottled beer
5156,2560,07-06-2015,whole milk
5157,4891,06-10-2015,chicken
5158,1622,12-02-2015,canned beer
5159,1028,02-06-2015,onions
5160,1416,22-08-2015,other vegetables
5161,1037,16-12-2015,frankfurter
5162,4293,23-04-2015,other vegetables
5163,3054,09-04-2015,white wine
5164,4467,23-04-2015,other vegetables
5165,4811,02-11-2015,canned beer
5166,4749,15-02-2015,tropical fruit
5167,1825,21-11-2015,fruit/vegetable juice
5168,4685,19-07-2015,berries
5169,3621,14-07-2015,other vegetables
5170,3219,04-08-2015,other vegetables
5171,1444,29-12-2015,meat
5172,1698,22-07-2015,other vegetables
5173,3328,15-04-2015,ham
5174,3704,30-04-2015,chocolate
5175,4124,09-09-2015,frankfurter
5176,4357,10-10-2015,processed cheese
5177,2073,30-04-2015,rolls/buns
5178,4192,12-09-2015,chewing gum
5179,3890,26-10-2015,root vegetables
5180,3147,24-12-2015,tropical fruit
5181,4550,30-01-2015,detergent
5182,3183,07-08-2015,tropical fruit
5183,1878,17-10-2015,sausage
5184,2523,12-02-2015,soda
5185,2227,20-06-2015,semi-finished bread
5186,2267,26-02-2015,frankfurter
5187,4806,27-10-2015,sausage
5188,2422,11-11-2015,citrus fruit
5189,1164,30-03-2015,whole milk
5190,3096,23-06-2015,misc. beverages
5191,1821,21-05-2015,tropical fruit
5192,2298,06-10-2015,beef
5193,4515,10-05-2015,other vegetables
5194,3079,10-03-2015,frankfurter
5195,3352,13-06-2015,sausage
5196,1545,17-10-2015,whole milk
5197,2999,03-08-2015,sausage
5198,1230,19-11-2015,frankfurter
5199,2578,25-01-2015,bottled beer
5200,4611,27-08-2015,cereals
5201,3575,24-01-2015,chocolate marshmallow
5202,2517,29-09-2015,other vegetables
5203,2471,19-03-2015,meat
5204,2560,19-06-2015,cocoa drinks
5205,4492,14-06-2015,sausage
5206,1217,18-02-2015,whole milk
5207,2950,10-10-2015,coffee
5208,4337,26-10-2015,tropical fruit
5209,2599,27-01-2015,sausage
5210,2924,19-11-2015,rolls/buns
5211,3734,05-09-2015,ice cream
5212,3985,24-07-2015,liver loaf
5213,1823,11-11-2015,frankfurter
5214,1722,27-08-2015,chewing gum
5215,3818,29-03-2015,soda
5216,4924,11-06-2015,butter
5217,3194,03-05-2015,chicken
5218,2156,07-08-2015,sausage
5219,3182,05-05-2015,soda
5220,2902,16-08-2015,cat food
5221,3450,24-12-2015,pip fruit
5222,4262,11-09-2015,soft cheese
5223,1276,28-08-2015,whole milk
5224,2184,23-01-2015,soda
5225,1670,30-06-2015,chicken
5226,1198,31-01-2015,other vegetables
5227,1858,25-01-2015,pastry
5228,1404,16-01-2015,ice cream
5229,2899,09-11-2015,sausage
5230,2057,13-11-2015,citrus fruit
5231,2799,27-02-2015,chocolate
5232,4913,01-08-2015,beverages
5233,2413,26-06-2015,bottled water
5234,4819,20-09-2015,sausage
5235,3014,15-07-2015,whipped/sour cream
5236,1419,07-04-2015,root vegetables
5237,2589,29-04-2015,ice cream
5238,3648,02-06-2015,meat
5239,1349,13-12-2015,frankfurter
5240,2706,03-10-2015,tropical fruit
5241,1144,16-01-2015,chicken
5242,1275,07-05-2015,root vegetables
5243,1851,11-07-2015,other vegetables
5244,2305,28-09-2015,coffee
5245,1905,18-10-2015,soda
5246,3732,06-12-2015,chicken
5247,2724,30-04-2015,ice cream
5248,3245,19-03-2015,hamburger meat
5249,2005,20-04-2015,pork
5250,4643,10-08-2015,ice cream
5251,2538,27-07-2015,other vegetables
5252,1173,07-02-2015,bottled beer
5253,1703,15-02-2015,misc. beverages
5254,3347,24-01-2015,beef
5255,1561,25-07-2015,whole milk
5256,1632,27-08-2015,chicken
5257,2995,18-02-2015,dessert
5258,1318,26-09-2015,pastry
5259,1133,26-02-2015,sausage
5260,2357,03-08-2015,onions
5261,4007,13-03-2015,tropical fruit
5262,2383,02-01-2015,flower soil/fertilizer
5263,3128,30-08-2015,ice cream
5264,1372,25-04-2015,soda
5265,1839,16-08-2015,pastry
5266,3567,17-02-2015,pip fruit
5267,3573,03-04-2015,meat
5268,3765,12-06-2015,whole milk
5269,2875,12-03-2015,zwieback
5270,3737,21-11-2015,liquor (appetizer)
5271,3535,28-02-2015,pip fruit
5272,4288,13-11-2015,canned beer
5273,1334,07-03-2015,Instant food products
5274,2046,28-02-2015,pork
5275,1922,07-10-2015,butter milk
5276,2184,19-09-2015,oil
5277,2632,23-09-2015,meat
5278,2108,01-10-2015,tropical fruit
5279,2547,24-11-2015,soda
5280,4720,12-02-2015,soda
5281,4008,19-05-2015,meat
5282,1438,28-11-2015,frankfurter
5283,3027,14-09-2015,whipped/sour cream
5284,1342,07-01-2015,tropical fruit
5285,4952,26-08-2015,sausage
5286,1218,20-08-2015,tropical fruit
5287,4804,19-11-2015,pork
5288,3319,17-11-2015,bottled beer
5289,2459,22-09-2015,whole milk
5290,1123,31-01-2015,frozen vegetables
5291,1827,01-07-2015,whole milk
5292,4769,20-09-2015,sausage
5293,3769,27-02-2015,pork
5294,4713,28-01-2015,beef
5295,1741,20-12-2015,sausage
5296,4238,12-12-2015,tropical fruit
5297,4051,28-01-2015,whole milk
5298,4960,19-08-2015,bottled water
5299,4602,26-08-2015,beef
5300,3549,12-02-2015,brown bread
5301,2746,29-05-2015,bottled beer
5302,2444,17-06-2015,sausage
5303,3196,04-11-2015,pip fruit
5304,4672,05-11-2015,frankfurter
5305,3308,08-03-2015,UHT-milk
5306,3328,16-08-2015,whole milk
5307,4923,23-09-2015,butter milk
5308,2981,11-05-2015,whole milk
5309,3615,02-09-2015,herbs
5310,1620,22-03-2015,tropical fruit
5311,2583,15-02-2015,chicken
5312,1362,06-10-2015,curd
5313,2462,08-01-2015,pork
5314,3198,23-06-2015,hamburger meat
5315,3296,22-05-2015,hamburger meat
5316,3447,03-09-2015,root vegetables
5317,4001,30-03-2015,butter
5318,2082,21-06-2015,UHT-milk
5319,1679,08-12-2015,whole milk
5320,3605,05-04-2015,sausage
5321,3762,04-01-2015,canned beer
5322,2375,03-09-2015,whole milk
5323,1617,30-03-2015,oil
5324,3399,09-04-2015,sausage
5325,1570,15-03-2015,frankfurter
5326,1583,24-03-2015,sliced cheese
5327,3348,05-12-2015,sausage
5328,1427,10-01-2015,chicken
5329,3041,27-08-2015,butter milk
5330,1661,08-11-2015,pip fruit
5331,1076,12-06-2015,sausage
5332,3545,29-09-2015,butter
5333,3593,10-09-2015,pork
5334,3891,16-02-2015,cat food
5335,2115,18-11-2015,hamburger meat
5336,2480,26-03-2015,tropical fruit
5337,1532,20-06-2015,whole milk
5338,2530,13-06-2015,softener
5339,1803,12-05-2015,rolls/buns
5340,2604,20-09-2015,tropical fruit
5341,3595,21-03-2015,dessert
5342,1442,30-03-2015,newspapers
5343,1515,09-11-2015,hamburger meat
5344,2899,24-11-2015,chicken
5345,1845,07-08-2015,other vegetables
5346,4334,28-04-2015,fruit/vegetable juice
5347,3885,13-04-2015,chocolate
5348,1474,02-06-2015,margarine
5349,4783,21-02-2015,cling film/bags
5350,1379,06-02-2015,chicken
5351,4217,17-06-2015,salt
5352,4281,14-09-2015,newspapers
5353,2690,01-05-2015,root vegetables
5354,2543,23-05-2015,pip fruit
5355,2300,28-04-2015,sausage
5356,4302,05-04-2015,other vegetables
5357,1930,15-11-2015,tropical fruit
5358,2834,02-12-2015,newspapers
5359,2307,26-05-2015,frankfurter
5360,3894,25-01-2015,fruit/vegetable juice
5361,1467,20-08-2015,ham
5362,3952,30-10-2015,sausage
5363,3016,01-12-2015,frankfurter
5364,2118,18-07-2015,fish
5365,1940,14-02-2015,chewing gum
5366,1430,04-09-2015,citrus fruit
5367,2738,11-04-2015,canned beer
5368,1565,30-11-2015,canned beer
5369,4755,27-12-2015,canned beer
5370,1410,08-11-2015,UHT-milk
5371,3829,02-08-2015,citrus fruit
5372,3086,04-04-2015,whole milk
5373,4780,09-06-2015,citrus fruit
5374,4085,29-09-2015,canned beer
5375,3236,26-01-2015,dessert
5376,2040,31-05-2015,ham
5377,2370,04-02-2015,meat
5378,4249,27-02-2015,pip fruit
5379,2836,14-08-2015,UHT-milk
5380,1220,01-01-2015,canned beer
5381,3520,02-01-2015,other vegetables
5382,2566,31-01-2015,whole milk
5383,2655,05-01-2015,sausage
5384,4147,18-04-2015,canned beer
5385,3364,30-08-2015,yogurt
5386,2370,14-01-2015,root vegetables
5387,3809,08-02-2015,bottled beer
5388,3744,06-11-2015,canned beer
5389,1588,19-01-2015,pork
5390,4304,01-02-2015,canned beer
5391,2240,20-09-2015,pip fruit
5392,3175,05-06-2015,meat
5393,1231,27-10-2015,pork
5394,3599,11-06-2015,other vegetables
5395,3738,01-04-2015,whole milk
5396,1593,08-08-2015,sausage
5397,1319,10-01-2015,misc. beverages
5398,2105,21-01-2015,bottled water
5399,2056,03-07-2015,beef
5400,3139,21-04-2015,tropical fruit
5401,1098,19-01-2015,rolls/buns
5402,2601,22-10-2015,canned beer
5403,2694,19-06-2015,sausage
5404,4524,26-12-2015,sliced cheese
5405,1165,13-04-2015,pork
5406,3705,07-09-2015,soda
5407,1634,28-05-2015,rolls/buns
5408,2030,04-09-2015,soda
5409,4989,19-06-2015,chocolate
5410,1715,04-07-2015,ham
5411,4552,13-08-2015,other vegetables
5412,1303,29-03-2015,canned beer
5413,1430,09-02-2015,canned beer
5414,4559,12-05-2015,canned beer
5415,3848,18-11-2015,tropical fruit
5416,2162,19-06-2015,tropical fruit
5417,3719,17-12-2015,canned beer
5418,3153,28-04-2015,canned beer
5419,4462,02-04-2015,bottled water
5420,2420,27-09-2015,frankfurter
5421,3971,17-06-2015,tropical fruit
5422,1611,26-02-2015,liver loaf
5423,1225,26-02-2015,shopping bags
5424,1554,21-05-2015,tropical fruit
5425,4624,27-11-2015,frankfurter
5426,3337,10-06-2015,citrus fruit
5427,2265,25-09-2015,whole milk
5428,4999,24-01-2015,tropical fruit
5429,4102,03-11-2015,beef
5430,3853,04-07-2015,fruit/vegetable juice
5431,2265,13-06-2015,frankfurter
5432,2452,11-08-2015,beef
5433,2829,19-12-2015,beef
5434,3926,20-08-2015,canned beer
5435,3960,21-10-2015,canned beer
5436,3980,16-09-2015,rolls/buns
5437,1116,29-01-2015,other vegetables
5438,2663,21-10-2015,sausage
5439,2164,24-11-2015,rolls/buns
5440,3950,12-05-2015,yogurt
5441,1252,13-04-2015,pork
5442,4804,27-12-2015,tropical fruit
5443,4041,07-09-2015,rolls/buns
5444,1894,04-08-2015,hamburger meat
5445,4977,20-08-2015,pip fruit
5446,2171,03-09-2015,whole milk
5447,3417,15-12-2015,pastry
5448,1175,10-06-2015,whole milk
5449,4946,17-02-2015,sausage
5450,4662,27-06-2015,canned beer
5451,2869,10-12-2015,beef
5452,4053,22-03-2015,canned beer
5453,4574,30-11-2015,frankfurter
5454,1110,15-11-2015,pastry
5455,4700,04-03-2015,sausage
5456,2565,29-04-2015,tropical fruit
5457,2468,13-03-2015,whole milk
5458,4836,13-11-2015,sausage
5459,3504,22-09-2015,root vegetables
5460,1333,03-04-2015,frozen meals
5461,4039,27-12-2015,other vegetables
5462,2077,15-05-2015,chicken
5463,3519,13-12-2015,bottled water
5464,2989,30-01-2015,whole milk
5465,3737,05-05-2015,whole milk
5466,3558,19-09-2015,frankfurter
5467,3036,13-07-2015,beef
5468,3180,03-07-2015,sausage
5469,2978,09-05-2015,sausage
5470,3985,23-10-2015,candy
5471,4903,08-12-2015,sausage
5472,2835,09-10-2015,citrus fruit
5473,3783,22-06-2015,sausage
5474,1486,14-12-2015,other vegetables
5475,4589,08-10-2015,sausage
5476,1132,19-02-2015,other vegetables
5477,4827,27-11-2015,canned beer
5478,3361,28-06-2015,detergent
5479,4681,11-09-2015,citrus fruit
5480,4197,26-10-2015,beef
5481,3701,22-01-2015,other vegetables
5482,4195,01-10-2015,bottled beer
5483,3429,01-04-2015,other vegetables
5484,2430,20-01-2015,fruit/vegetable juice
5485,4330,08-04-2015,misc. beverages
5486,1783,18-03-2015,tropical fruit
5487,4025,04-11-2015,pip fruit
5488,3399,19-07-2015,sausage
5489,4766,03-01-2015,root vegetables
5490,3562,13-08-2015,zwieback
5491,2447,21-01-2015,chicken
5492,1396,22-07-2015,tropical fruit
5493,4633,26-04-2015,tropical fruit
5494,4695,05-01-2015,root vegetables
5495,1706,14-08-2015,canned beer
5496,3872,23-11-2015,beef
5497,1444,14-10-2015,hamburger meat
5498,4753,08-11-2015,other vegetables
5499,4580,29-11-2015,liquor (appetizer)
5500,2516,03-04-2015,pip fruit
5501,2415,08-08-2015,newspapers
5502,3925,25-03-2015,turkey
5503,4996,24-11-2015,rolls/buns
5504,4569,27-07-2015,sausage
5505,3509,11-04-2015,beef
5506,2252,08-10-2015,whole milk
5507,1634,09-02-2015,whole milk
5508,4112,27-04-2015,pip fruit
5509,4042,08-08-2015,meat
5510,4473,26-06-2015,hamburger meat
5511,3878,30-04-2015,photo/film
5512,2266,30-09-2015,other vegetables
5513,3304,30-11-2015,root vegetables
5514,3757,04-02-2015,other vegetables
5515,3440,21-12-2015,citrus fruit
5516,4328,04-02-2015,beef
5517,3737,06-12-2015,frankfurter
5518,3948,15-06-2015,ham
5519,3682,05-03-2015,soda
5520,2827,31-10-2015,bottled beer
5521,2650,05-10-2015,soda
5522,1360,16-12-2015,turkey
5523,3679,23-12-2015,pork
5524,4137,07-03-2015,citrus fruit
5525,4235,19-12-2015,grapes
5526,3193,31-01-2015,other vegetables
5527,1332,02-12-2015,root vegetables
5528,4821,28-11-2015,tropical fruit
5529,1837,09-07-2015,rolls/buns
5530,3665,23-09-2015,citrus fruit
5531,2659,08-05-2015,yogurt
5532,1322,09-01-2015,chicken
5533,1599,29-05-2015,tropical fruit
5534,2933,06-04-2015,tropical fruit
5535,3963,21-02-2015,other vegetables
5536,4178,03-06-2015,margarine
5537,1052,27-10-2015,pork
5538,4693,18-08-2015,frankfurter
5539,1329,02-02-2015,ham
5540,3128,13-06-2015,cream cheese 
5541,1175,30-06-2015,bottled water
5542,2211,31-03-2015,canned beer
5543,2093,12-06-2015,frozen potato products
5544,4284,14-10-2015,pip fruit
5545,4449,30-03-2015,citrus fruit
5546,4269,01-04-2015,frankfurter
5547,1962,05-04-2015,other vegetables
5548,2250,04-10-2015,chicken
5549,1743,13-11-2015,pip fruit
5550,1583,28-07-2015,frankfurter
5551,4295,26-10-2015,frozen meals
5552,1183,29-06-2015,root vegetables
5553,2729,21-03-2015,beef
5554,4035,03-08-2015,sausage
5555,1608,06-08-2015,whole milk
5556,1793,03-07-2015,beef
5557,2210,09-07-2015,pork
5558,1885,03-07-2015,artif. sweetener
5559,1078,28-10-2015,frankfurter
5560,1016,30-09-2015,rolls/buns
5561,3077,29-05-2015,canned beer
5562,3551,01-05-2015,mayonnaise
5563,1158,17-10-2015,rolls/buns
5564,2443,20-06-2015,sausage
5565,1395,15-01-2015,hard cheese
5566,2454,10-11-2015,frankfurter
5567,3472,30-04-2015,frankfurter
5568,3547,28-11-2015,bottled water
5569,1038,21-02-2015,sausage
5570,3915,11-09-2015,whole milk
5571,2719,19-04-2015,citrus fruit
5572,2234,23-12-2015,pork
5573,1565,14-12-2015,condensed milk
5574,1328,24-03-2015,sausage
5575,3398,18-01-2015,brown bread
5576,3687,12-02-2015,whole milk
5577,1572,23-05-2015,frankfurter
5578,3460,24-11-2015,domestic eggs
5579,2352,05-05-2015,sausage
5580,4816,31-07-2015,other vegetables
5581,1152,19-07-2015,pork
5582,1120,11-06-2015,other vegetables
5583,4258,18-07-2015,frankfurter
5584,4336,10-09-2015,beef
5585,1395,25-08-2015,pork
5586,3581,24-09-2015,white bread
5587,1762,01-07-2015,dessert
5588,2659,08-12-2015,pip fruit
5589,4120,17-01-2015,sausage
5590,2420,08-03-2015,frankfurter
5591,2816,30-09-2015,chicken
5592,1711,26-02-2015,chicken
5593,2884,28-12-2015,other vegetables
5594,4153,13-06-2015,house keeping products
5595,2184,11-05-2015,pork
5596,4381,30-09-2015,bathroom cleaner
5597,2920,27-03-2015,beverages
5598,3967,21-01-2015,butter
5599,3135,13-03-2015,sausage
5600,3459,05-08-2015,canned beer
5601,2868,09-01-2015,salt
5602,2989,06-01-2015,beef
5603,1440,06-09-2015,shopping bags
5604,2796,19-05-2015,curd
5605,1074,16-10-2015,fruit/vegetable juice
5606,2565,28-09-2015,sausage
5607,1197,16-01-2015,sausage
5608,1971,16-08-2015,sausage
5609,3327,26-03-2015,grapes
5610,1168,06-03-2015,frankfurter
5611,2814,18-09-2015,berries
5612,3298,26-05-2015,citrus fruit
5613,3728,12-11-2015,canned beer
5614,2116,29-08-2015,canned beer
5615,1139,19-01-2015,tropical fruit
5616,2463,26-12-2015,whole milk
5617,2978,27-06-2015,whole milk
5618,4525,07-10-2015,other vegetables
5619,1213,14-09-2015,citrus fruit
5620,4332,24-11-2015,pork
5621,1729,15-12-2015,beef
5622,1695,04-02-2015,meat
5623,3503,29-11-2015,canned beer
5624,3686,06-01-2015,whole milk
5625,4264,11-05-2015,curd cheese
5626,1545,28-02-2015,citrus fruit
5627,3195,08-07-2015,cooking chocolate
5628,1409,17-02-2015,whole milk
5629,2800,21-06-2015,sugar
5630,4453,27-07-2015,chicken
5631,4820,18-01-2015,citrus fruit
5632,3716,08-10-2015,sausage
5633,3270,15-05-2015,whole milk
5634,3410,16-01-2015,whole milk
5635,3651,16-10-2015,rolls/buns
5636,2049,06-01-2015,pork
5637,3507,27-08-2015,root vegetables
5638,3184,20-11-2015,citrus fruit
5639,2648,29-01-2015,citrus fruit
5640,1566,24-02-2015,whole milk
5641,4105,05-02-2015,pork
5642,3537,25-01-2015,citrus fruit
5643,2300,05-08-2015,frankfurter
5644,3794,04-01-2015,citrus fruit
5645,3756,11-07-2015,sausage
5646,4197,06-02-2015,chicken
5647,4661,10-05-2015,other vegetables
5648,3738,30-12-2015,onions
5649,4567,02-10-2015,hamburger meat
5650,2831,06-01-2015,frankfurter
5651,4841,09-06-2015,canned beer
5652,1776,15-04-2015,bottled water
5653,1364,31-07-2015,soda
5654,1926,16-10-2015,turkey
5655,3496,22-09-2015,rolls/buns
5656,1498,28-10-2015,frozen vegetables
5657,4436,23-12-2015,other vegetables
5658,4098,06-02-2015,pork
5659,4707,11-02-2015,soda
5660,4358,11-06-2015,turkey
5661,3290,29-05-2015,sausage
5662,1940,04-06-2015,whole milk
5663,3363,18-08-2015,newspapers
5664,1782,01-08-2015,coffee
5665,2756,23-11-2015,hamburger meat
5666,4379,01-10-2015,turkey
5667,4686,08-10-2015,sausage
5668,1230,06-04-2015,whole milk
5669,2918,19-07-2015,sausage
5670,4604,09-12-2015,other vegetables
5671,4489,19-11-2015,shopping bags
5672,4408,20-04-2015,pork
5673,1846,28-05-2015,pork
5674,1658,15-06-2015,beef
5675,3046,09-01-2015,sausage
5676,4528,13-10-2015,whole milk
5677,1132,22-09-2015,soda
5678,2386,05-12-2015,canned beer
5679,4741,08-09-2015,beef
5680,3971,19-10-2015,frankfurter
5681,3029,14-02-2015,other vegetables
5682,2758,06-02-2015,other vegetables
5683,3969,05-03-2015,root vegetables
